text,target,polarity,category,tokens,labels,category_cleaned
AVMnin içindeki sanat sergisi çok etkileyiciydi özellikle modern sanat eserleri çok ilgimi çekti Ancak sergi alanının aydınlatması yetersizdi bu yüzden eserleri tam olarak göremedim,"['sanat sergisi', 'modern sanat eserleri', 'sergi alanının aydınlatması']","['positive', 'positive', 'negative']",e-commerce,"['AVMnin', 'içindeki', 'sanat', 'sergisi', 'çok', 'etkileyiciydi', 'özellikle', 'modern', 'sanat', 'eserleri', 'çok', 'ilgimi', 'çekti', 'Ancak', 'sergi', 'alanının', 'aydınlatması', 'yetersizdi', 'bu', 'yüzden', 'eserleri', 'tam', 'olarak', 'göremedim']","['O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",avm
Hava geçirgenliği ortalama düzeyde sıcak havalarda biraz terleme olabilir,"['Hava geçirgenliği', 'sıcak havalarda biraz terleme']","['neutral', 'neutral']",product,"['Hava', 'geçirgenliği', 'ortalama', 'düzeyde', 'sıcak', 'havalarda', 'biraz', 'terleme', 'olabilir']","['B', 'I', 'O', 'O', 'B', 'I', 'I', 'I', 'O']",product
Konumu mükemmel Odaları tarz ve hijyenik Ancak eskiden bu otel kahvaltısıyla ünlüyken artık kahvaltısız seçenek sunuyorlar veya yandaki otele yolluyorlar Eski büyüsünü kaybetmiş,"['Konumu', 'Odaları', 'kahvaltısıyla']","['positive', 'positive', 'negative']",accommodation,"['Konumu', 'mükemmel', 'Odaları', 'tarz', 've', 'hijyenik', 'Ancak', 'eskiden', 'bu', 'otel', 'kahvaltısıyla', 'ünlüyken', 'artık', 'kahvaltısız', 'seçenek', 'sunuyorlar', 'veya', 'yandaki', 'otele', 'yolluyorlar', 'Eski', 'büyüsünü', 'kaybetmiş']","['S', 'O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",accommodation
Ürün elime ulaştı ama beğenmedim ve sağ kulaklık çalışmadı hiçbir şekilde teknik servise gönderildi  çok üzüldüm daha kullanmadan sıkıntılı olması,"['Ürün', 'sağ kulaklık']","['negative', 'negative']",product,"['Ürün', 'elime', 'ulaştı', 'ama', 'beğenmedim', 've', 'sağ', 'kulaklık', 'çalışmadı', 'hiçbir', 'şekilde', 'teknik', 'servise', 'gönderildi', 'çok', 'üzüldüm', 'daha', 'kullanmadan', 'sıkıntılı', 'olması']","['S', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",product
Spor salonunda ekipmanlar yeni ve temiz eğitmenler ilgiliydi ama duş alanı küçük ve havalandırma yetersizdi soyunma dolapları ise güvenliydi,"['ekipmanlar', 'eğitmenler', 'duş alanı', 'havalandırma', 'soyunma dolapları']","['positive', 'positive', 'negative', 'negative', 'positive']",entertainment,"['Spor', 'salonunda', 'ekipmanlar', 'yeni', 've', 'temiz', 'eğitmenler', 'ilgiliydi', 'ama', 'duş', 'alanı', 'küçük', 've', 'havalandırma', 'yetersizdi', 'soyunma', 'dolapları', 'ise', 'güvenliydi']","['O', 'O', 'S', 'O', 'O', 'O', 'S', 'O', 'O', 'B', 'I', 'O', 'O', 'S', 'O', 'B', 'I', 'O', 'O']",entertainment
adaş harika videolar çıkartıyorsun gerçekten bu işi iyice aştın bence eşinin de payı büyük videoların çok güzel takipteyiz,"['videolar', 'bu işi', 'eşinin payı', 'videoların']","['positive', 'positive', 'positive', 'positive']",social_media,"['adaş', 'harika', 'videolar', 'çıkartıyorsun', 'gerçekten', 'bu', 'işi', 'iyice', 'aştın', 'bence', 'eşinin', 'de', 'payı', 'büyük', 'videoların', 'çok', 'güzel', 'takipteyiz']","['O', 'O', 'S', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",opinion
Lotus lattelerin hicbirinde ne lotus tadi nede kahve tadi var  hicbir sekilde lotus aromasi yok sadece buzlu sut gondermissiniz,['Lotus lattelerin'],['negative'],daily_life,"['Lotus', 'lattelerin', 'hicbirinde', 'ne', 'lotus', 'tadi', 'nede', 'kahve', 'tadi', 'var', 'hicbir', 'sekilde', 'lotus', 'aromasi', 'yok', 'sadece', 'buzlu', 'sut', 'gondermissiniz']","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",experience
Uygulama hep çöküyor giriş yapamıyorum Güncelleme bekliyorum Hatalar veriyor,"['Uygulama', 'giriş', 'Güncelleme', 'Hatalar']","['negative', 'negative', 'negative', 'negative']",social_media,"['Uygulama', 'hep', 'çöküyor', 'giriş', 'yapamıyorum', 'Güncelleme', 'bekliyorum', 'Hatalar', 'veriyor']","['S', 'O', 'O', 'S', 'O', 'S', 'O', 'S', 'O']",opinion
Ürün kutusundan çiziksiz çıktı ancak batarya seviyesi 30du ve ilk kullanımda biraz ısındı bu durumun normal olup olmadığını bilmiyorum,"['ürün', 'batarya seviyesi', 'ısınma']","['positive', 'neutral', 'negative']",product,"['Ürün', 'kutusundan', 'çiziksiz', 'çıktı', 'ancak', 'batarya', 'seviyesi', '30du', 've', 'ilk', 'kullanımda', 'biraz', 'ısındı', 'bu', 'durumun', 'normal', 'olup', 'olmadığını', 'bilmiyorum']","['S', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",electronics
Bu akşam Cansu Dere oynadığı diziye ayrı bir hava katıyor karakterin durumu biraz belirsizdi,"['Cansu Dere', 'karakterin durumu']","['positive', 'neutral']",other,"['Bu', 'akşam', 'Cansu', 'Dere', 'oynadığı', 'diziye', 'ayrı', 'bir', 'hava', 'katıyor', 'karakterin', 'durumu', 'biraz', 'belirsizdi']","['O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O']",series/movies
